,lvl0,lvl1,lvl2,lvl3,lvl4,count
0,all,relay,relay_money,relay_money_invest,relay_money_invest_loan,69
1,all,relay,relay_money,relay_money_invest,relay_money_invest_credit,194
2,all,relay,relay_money,relay_money_loan,relay_money_loan_invest,83
3,all,relay,relay_money,relay_money_loan,relay_money_loan_credit,112
4,all,relay,relay_money,relay_money_credit,relay_money_credit_invest,176
5,all,relay,relay_money,relay_money_credit,relay_money_credit_loan,99
6,all,relay,relay_invest,relay_invest_money,relay_invest_money_loan,72
7,all,relay,relay_invest,relay_invest_money,relay_invest_money_credit,132
8,all,relay,relay_invest,relay_invest_loan,relay_invest_loan_money,50
9,all,relay,relay_invest,relay_invest_loan,relay_invest_loan_credit,81
10,all,relay,relay_invest,relay_invest_credit,relay_invest_credit_money,289
11,all,relay,relay_invest,relay_invest_credit,relay_invest_credit_loan,126
12,all,relay,relay_loan,relay_loan_money,relay_loan_money_invest,304
13,all,relay,relay_loan,relay_loan_money,relay_loan_money_credit,360
14,all,relay,relay_loan,relay_loan_invest,relay_loan_invest_money,179
15,all,relay,relay_loan,relay_loan_invest,relay_loan_invest_credit,276
16,all,relay,relay_loan,relay_loan_credit,relay_loan_credit_money,854
17,all,relay,relay_loan,relay_loan_credit,relay_loan_credit_invest,950
18,all,relay,relay_credit,relay_credit_money,relay_credit_money_invest,353
19,all,relay,relay_credit,relay_credit_money,relay_credit_money_loan,238
20,all,relay,relay_credit,relay_credit_invest,relay_credit_invest_money,460
21,all,relay,relay_credit,relay_credit_invest,relay_credit_invest_loan,246
22,all,relay,relay_credit,relay_credit_loan,relay_credit_loan_money,456
23,all,relay,relay_credit,relay_credit_loan,relay_credit_loan_invest,475
24,all,money,money_relay,money_relay_invest,money_relay_invest_loan,11
25,all,money,money_relay,money_relay_invest,money_relay_invest_credit,28
26,all,money,money_relay,money_relay_loan,money_relay_loan_invest,19
27,all,money,money_relay,money_relay_loan,money_relay_loan_credit,73
28,all,money,money_relay,money_relay_credit,money_relay_credit_invest,58
29,all,money,money_relay,money_relay_credit,money_relay_credit_loan,45
30,all,money,money_invest,money_invest_relay,money_invest_relay_loan,5
31,all,money,money_invest,money_invest_relay,money_invest_relay_credit,28
32,all,money,money_invest,money_invest_loan,money_invest_loan_relay,0
33,all,money,money_invest,money_invest_loan,money_invest_loan_credit,1
34,all,money,money_invest,money_invest_credit,money_invest_credit_relay,5
35,all,money,money_invest,money_invest_credit,money_invest_credit_loan,0
36,all,money,money_loan,money_loan_relay,money_loan_relay_invest,4
37,all,money,money_loan,money_loan_relay,money_loan_relay_credit,2
38,all,money,money_loan,money_loan_invest,money_loan_invest_relay,1
39,all,money,money_loan,money_loan_invest,money_loan_invest_credit,0
40,all,money,money_loan,money_loan_credit,money_loan_credit_relay,0
41,all,money,money_loan,money_loan_credit,money_loan_credit_invest,0
42,all,money,money_credit,money_credit_relay,money_credit_relay_invest,2
43,all,money,money_credit,money_credit_relay,money_credit_relay_loan,5
44,all,money,money_credit,money_credit_invest,money_credit_invest_relay,3
45,all,money,money_credit,money_credit_invest,money_credit_invest_loan,0
46,all,money,money_credit,money_credit_loan,money_credit_loan_relay,0
47,all,money,money_credit,money_credit_loan,money_credit_loan_invest,0
48,all,invest,invest_relay,invest_relay_money,invest_relay_money_loan,11
49,all,invest,invest_relay,invest_relay_money,invest_relay_money_credit,48
50,all,invest,invest_relay,invest_relay_loan,invest_relay_loan_money,18
51,all,invest,invest_relay,invest_relay_loan,invest_relay_loan_credit,43
52,all,invest,invest_relay,invest_relay_credit,invest_relay_credit_money,119
53,all,invest,invest_relay,invest_relay_credit,invest_relay_credit_loan,54
54,all,invest,invest_money,invest_money_relay,invest_money_relay_loan,11
55,all,invest,invest_money,invest_money_relay,invest_money_relay_credit,45
56,all,invest,invest_money,invest_money_loan,invest_money_loan_relay,0
57,all,invest,invest_money,invest_money_loan,invest_money_loan_credit,1
58,all,invest,invest_money,invest_money_credit,invest_money_credit_relay,5
59,all,invest,invest_money,invest_money_credit,invest_money_credit_loan,2
60,all,invest,invest_loan,invest_loan_relay,invest_loan_relay_money,1
61,all,invest,invest_loan,invest_loan_relay,invest_loan_relay_credit,0
62,all,invest,invest_loan,invest_loan_money,invest_loan_money_relay,1
63,all,invest,invest_loan,invest_loan_money,invest_loan_money_credit,1
64,all,invest,invest_loan,invest_loan_credit,invest_loan_credit_relay,0
65,all,invest,invest_loan,invest_loan_credit,invest_loan_credit_money,4
66,all,invest,invest_credit,invest_credit_relay,invest_credit_relay_money,5
67,all,invest,invest_credit,invest_credit_relay,invest_credit_relay_loan,3
